"","dem.BirthRate","dem.AdolescentFertRate.var","dem.MortalityUnder5","hs.GovHealthExpend","hs.BasicSanitation","eco.AgeDependancyRate","dem.DeathRate.var","dem.LifeExpectancy","sci.EduExpense","eco.CO2Emissions","dem.MortalityUnder5.var","dem.PopGrowth","hs.DrinkingWater","dem.BirthRate.var","clust_names"
"Bangladesh - 2012",20.66966667,-1.0992,46.2,4.511751652,40.53415123,56.96735244,-0.056666667,70.24766667,1.913013203,0.426606983,-2.5,1.141337917,96.53843314,-0.437333333,1
"Bangladesh - 2016",19.16033333,-1.1286,37.56666667,5.535328388,45.73688897,52.41151828,-0.014,71.51,1.433232111,0.509828549,-1.933333333,1.117059568,96.82025258,-0.340666667,1
"Barbados - 2004",13.45166667,-0.6372,15.63333333,449.9735718,90.35387673,49.8882864,0.078,77.67466667,5.583333333,4.539816395,0.133333333,0.338822598,98.35442772,-0.172333333,1
"Barbados - 2008",12.57533333,-0.732866667,15.46666667,581.4744873,92.35439207,48.99999588,0.090333333,78.09666667,5.203333333,5.191376988,-0.133333333,0.434208537,98.39443339,-0.261666667,1
"Barbados - 2012",11.49866667,-0.9242,14.86666667,615.5546468,94.35490741,49.13332985,0.086,78.45566667,5.585,5.274912652,-0.133333333,0.30642114,98.43443907,-0.249333333,1
"Barbados - 2016",10.818,-1.8318,14,536.4649658,96.35542276,49.18244307,0.079333333,78.802,5.690537188,4.421211918,-0.3,0.175410689,98.47444474,-0.098,1
"Belarus - 2004",9,-0.3952,10,84.85160446,91.76941086,45.08165829,-0.266666667,68.52195122,5.4226799,5.584411189,-0.8,-0.67284811,99.23265902,0.1,1
"Belarus - 2008",10.56666667,-0.326266667,7.2,195.0796407,93.73197192,42.11868359,-0.3,70.02276423,5.071666667,6.47197475,-0.6,-0.472186263,98.323167,0.666666667,1
"Belarus - 2012",11.7,-0.1884,5.133333333,224.2786611,95.98763471,40.976756,-0.433333333,70.97479675,4.743333333,6.686157228,-0.366666667,-0.148540722,97.27117194,0.3,1
"Belarus - 2016",12.46666667,-1.3732,4.033333333,236.9203593,97.76512181,43.997669,-0.133333333,73.47398374,4.813943047,6.301179618,-0.266666667,0.124904823,96.46447095,-0.033333333,1
"Belgium - 2004",11.06666667,-0.184,5.233333333,2030.744792,99.48441559,52.63081225,-0.133333333,78.36097561,5.630886451,10.6429665,-0.166666667,0.433232884,99.99999902,0.166666667,3
"Belgium - 2008",11.73333333,-0.3894,4.7,3050.799154,99.48583644,52.26737514,0.033333333,79.61463415,5.736666667,9.890452368,-0.1,0.727955297,100.0000001,0.133333333,2
"Belgium - 2012",11.7,-0.8002,4.4,3609.576986,99.48606887,52.36246776,-0.066666667,80.38455285,6.112947812,9.247160177,-0.1,0.944935291,99.9999976,-0.2,2
"Belgium - 2016",10.93333333,-0.2756,3.933333333,3464.470703,99.48606111,54.23411516,0.233333333,81.2398374,6.144254767,8.569827812,-0.166666667,0.509891844,99.99999991,-0.266666667,2
"Belize - 2004",27.897,-2.5062,21.73333333,91.2300059,83.41390977,76.65456734,-0.178666667,69.51066667,5.085,1.558080295,-0.466666667,2.690490465,89.38313585,-0.723,1
"Belize - 2008",24.97266667,-2.069266667,20.23333333,133.3320923,84.68523935,70.29832398,-0.089,70.66033333,5.785714286,1.51316311,-0.366666667,2.600042312,91.9863003,-0.662333333,1
"Belize - 2012",23.05433333,-1.1954,18.3,164.4558614,85.94259962,64.01125993,-0.010666667,72.557,6.572142857,1.634373666,-0.6,2.385636499,94.58787956,-0.347666667,1
"Belize - 2016",21.73333333,-0.8384,15.3,187.280187,87.21360109,57.6512491,0.022666667,74.01166667,6.39,1.516344659,-0.8,2.118485606,97.10081094,-0.333666667,1
"Benin - 2004",41.33266667,-1.396,128.8666667,4.901222547,9.871581785,92.25429034,-0.292333333,56.44933333,2.933333333,0.307226553,-3.233333333,3.029366632,62.45735919,-0.321333333,1
"Benin - 2008",40.16533333,-1.7516,117.6666667,6.071148713,11.8062999,90.34252841,-0.258666667,58.242,3.54,0.503414305,-2.433333333,2.858395344,63.7786091,-0.279666667,1
"Benin - 2012",38.938,-2.4628,108.5666667,8.345935027,13.94500301,88.55795514,-0.161666667,59.58333333,4.775,0.527304642,-2.233333333,2.802484466,64.97879032,-0.34,1
"Benin - 2016",37.43,-2.0538,99.6,6.655116081,16.01226496,86.14793135,-0.15,60.61266667,4.201422672,0.563910413,-2.2,2.771768389,66.06346353,-0.401,1
