Country Name,Adjusted savings: education expenditure (% of GNI),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Fertility rate, total (births per woman)",Land area (sq. km),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Merchandise exports by the reporting economy (current US$),"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",Merchandise exports to high-income economies (% of total merchandise exports),Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),Merchandise imports by the reporting economy (current US$),"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",Merchandise imports from high-income economies (% of total merchandise imports),Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),Population density (people per sq. km of land area),Population growth (annual %),"Population, total","Preprimary education, duration (years)","Primary education, duration (years)",Rural population,Rural population (% of total population),Rural population growth (annual %),Scientific and technical journal articles,"Secondary education, duration (years)",Surface area (sq. km),"Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)",Urban population,Urban population (% of total population),Urban population growth (annual %)
Bolivia,4.866666666666666,86.9364,30.820999999999998,9.681333333333333,4.132666666666666,1083300.0,63.727666666666664,60.010999999999996,61.83033333333333,1401679931.6666667,1.3598406654481734,62.586495747374705,0.5258805566875496,0.6578633082905073,2197173470.6666665,0.3838958372044206,61.70482487995816,2.2127162816888775,2.74797487869627,7.622416382042523,1.96035194529631,8257363.666666667,2.0,6.0,3198065.6666666665,38.73666666666666,0.6140278338182164,38.82,6.0,1098580.0,65.04429,57.648217200000005,5059298.0,61.26333333333333,2.8210654530677
Botswana,6.139039485714343,62.8938,29.526,13.087666666666669,3.375666666666667,566730.0,54.03366666666667,48.695,51.26333333333333,2778159829.0,0.0518030670869656,88.54895835440429,0.00139819169489546,0.0378633723308365,2101166850.0,1.7395094064043501,20.5569460131165,0.45851580039919204,0.840317131407246,2.8405190008175567,2.155625089607827,1609807.3333333333,3.0,7.0,766528.6666666666,47.62800000000001,0.39183503740534936,109.79,5.0,581730.0,41.0874034,27.9720032,843278.6666666666,52.37199999999999,3.7870795414004363
Brazil,4.142827475550177,82.89399999999999,20.64,6.234999999999999,2.3636666666666666,8358140.0,73.63166666666666,66.10133333333333,69.76799999999999,53037571835.0,7.69865744734928,61.36950960160217,3.1683940809743967,10.178367239953403,59348754147.666664,1.2645128636505534,71.1370351970116,3.7164962203922998,10.111845654173157,20.614405637298866,1.4780810787265164,172298088.33333334,3.0,4.0,33604160.333333336,19.51033333333333,-2.1203122115999165,12783.45,7.0,8515770.0,78.38256080000001,64.3557626,138693928.0,80.48966666666666,2.370129673096357
Bulgaria,3.10333333333333,45.95499999999999,8.566666666666668,14.0,1.2,110630.0,75.06666666666666,67.86666666666667,71.37886178861787,4242916599.0,10.048411177192127,61.7274165797779,0.5885378577681051,5.778485248762164,5590508839.333333,3.2569184576743235,59.34241243049363,2.3490254823772565,6.79622956109545,74.23417999939737,-0.5739491141596736,8212527.333333333,4.0,4.0,2572501.6666666665,31.323333333333334,-1.28231975137448,1652.95,7.0,110990.0,83.4833196,65.7129612,5640025.666666667,68.67666666666666,-0.24919204235159165
Burkina Faso,2.6493242285714467,140.405,46.431999999999995,15.813666666666668,6.648666666666666,273600.0,51.474,48.75899999999999,50.190333333333335,189968710.4,1.8143751442376634,61.632316632800325,10.44546731248167,22.9432127791533,619064138.5,2.902307044418773,50.23032184580634,2.6630777011977886,14.119032928328734,41.25166544834307,2.8223657634379236,11286455.666666666,3.0,6.0,9346774.0,82.82666666666667,2.03290113706124,48.02,7.0,274220.0,48.57361480000001,42.008856,1939681.6666666667,17.173333333333336,6.7197638524209635
Burundi,3.3662945999999967,77.164,43.321,15.567666666666668,6.975333333333334,25680.0,49.87766666666667,46.830666666666666,48.379333333333335,55125717.54333333,30.062586677940004,62.159300230124096,0.06012075680162452,0.11418040765934508,133054657.96666665,20.97596737357357,46.72534989616697,4.164667289688847,7.930712687175396,244.43869418483902,1.3693682420530766,6277185.666666667,3.0,6.0,5772533.0,91.96266666666668,1.1419982950121474,1.65,7.0,27830.0,42.1015968,35.212333,504652.6666666667,8.037333333333335,4.0098561960444234
Cambodia,1.2249999999999968,50.1818,29.044,9.856333333333334,3.974,176520.0,59.835,55.38766666666667,57.632666666666665,1113950386.6666667,8.627871468866124,73.48084937775685,17.462332191395884,0.42894696198109433,1261430943.6666667,1.571256875311838,59.831349188642434,37.46365920614773,1.1337347298980027,67.30531951053707,2.436048200917193,11880735.0,5.0,6.0,9686110.0,81.52966666666667,2.2213792259647698,12.15,6.0,181040.0,60.002828,51.15386859999999,2194625.0,18.470333333333333,3.393023642835923
Cameroon,1.9948814000000035,157.1648,41.59133333333333,14.646333333333333,5.647666666666666,472710.0,52.528,49.35166666666667,50.91866666666667,1697410605.3333333,3.03621622226938,80.67249278882888,5.0927694473988465,7.98939837120032,1434586272.6666667,6.543601673875997,62.08745342951867,3.77649780417401,9.701552182071993,31.978947628214637,2.61254195926019,15116768.333333334,2.0,6.0,8321014.666666667,55.05533333333333,1.5362965051338167,120.57,7.0,475440.0,46.7115168,39.8586648,6795753.666666667,44.94466666666667,3.9468437836529535
Canada,5.438857660735191,17.9282,11.1,7.166666666666667,1.5086666666666668,9093510.0,81.60000000000001,76.3,78.88536585365854,241274333333.33334,0.019549745102525468,96.51284755988733,1.1804527474396502,3.4676026950101733,235981000000.0,1.8122751631002032,87.3652729627323,4.691157134009811,10.8224518741675,3.34459004278876,0.8580111768307797,30414063.0,3.0,6.0,6355366.0,20.898333333333333,-0.9409765039345106,33854.39,6.0,9984670.0,89.8288884,83.426961,24058697.0,79.10166666666667,1.3387408809469399
Caribbean small states,4.381466698319216,75.49704963486754,20.834405460817464,6.9123166135650775,2.47880458423215,404850.0,73.42217431114847,69.28677931954233,71.31325877775504,6402631554.889999,2.8804272137998534,77.04007431664017,0.23133926974386468,17.810027059382367,12541655686.966667,3.2466751677493364,80.91063839167184,1.9208614356342164,10.929882273618281,15.9777596640731,0.7002247787809684,6468596.0,2.5,6.5,3227289.3333333335,49.89230274082772,0.4126084362101164,247.399471719126,5.0,434990.0,78.22575683625733,68.72652514552573,3241306.6666666665,50.10769725917228,0.9882765765785604
Central African Republic,1.5826569714285699,149.59699999999998,41.370000000000005,19.06566666666667,5.520333333333333,622980.0,46.13099999999999,42.92366666666666,44.50266666666667,179363378.76666665,0.0016801776961647402,89.28732109212977,2.619564806927537,8.932091203681496,128785125.33333333,14.702549785779434,59.850414426115435,2.0834224050675267,7.213816266053517,5.711222939206183,2.3517578351902997,3557977.6666666665,3.0,6.0,2221663.0,62.443000000000005,2.221068740242743,6.13,7.0,622980.0,33.3710954,26.687016,1336314.6666666667,37.556999999999995,2.5694201882336096
Central Europe and the Baltics,4.142997856028887,24.6306013476762,9.771990247365165,11.180025797310135,1.32135671655461,1104979.3343098934,76.41333775067903,68.33012292097709,72.26750782428736,127324683670.66667,1.0336256253752045,87.00655410046299,0.5371693194230209,10.4327883660005,168745047959.33334,0.9191130646598701,82.41049652214208,3.2443221114290997,14.655927989288633,98.56808430388135,-0.29747734782383867,108915705.0,4.0,4.0,41926925.333333336,38.4949082067925,-0.2223177314593557,33671.28,8.0,1134898.99902344,84.39349924115334,65.73230617672169,66988779.666666664,61.5050917932075,-0.3444605177283506
Chile,3.4906209333333336,62.0298,17.136666666666667,5.334666666666667,2.1123333333333334,743532.03125,79.08699999999999,72.962,76.09033333333333,17705053333.333332,7.316586892135073,65.61751884976782,4.7340921862521474,27.0658942580971,18155270000.0,12.743388010756634,50.37692058363711,5.965511866251476,36.8796914056063,20.390462498988697,1.2307169347615299,15160962.0,4.0,6.0,2156133.0,14.223999999999998,-0.8588759451204663,1557.36,6.0,756096.015625,86.9925788,76.9043112,13004829.0,85.776,1.5814842043185902
