Country.Year,sci.Internet,geo.UrbanPop,sci.EduExpense,geo.RuralPopGrowth,eco.CleanCook,dem.FertilityRate,dem.over64,geo.UrbanPop.var,hs.OpenDefecation.var,dem.DeathRate.var,hs.BasicSanitation.var,eco.CleanCook.var,dem.PopGrowth,geo.ArableLand.var,geo.RuralPop,eco.Inflation,eco.AgeDependancyRate.var,hs.GovHealthExpend.var,sci.EduExpense.var,dem.AdolescentFertRate.var,dem.LifeExpectancy.var,hs.GovHealthExpend.var,dem.AdolescentFertRate,sci.Articles,dem.Pop15to64,dem.MortalityUnder5.var,dem.DeathRate,hs.DrinkingWater,dem.Pop0to14.var,eco.Imports.var,sci.PrimaryDuration,hs.DrinkingWater.var,eco.MerchTrade.var,sci.PrimaryDuration.var,eco.FoodProdIdx.var,dem.Pop0to14,eco.AgeDependancyRate,geo.UrbanGrowth,eco.FoodProdIdx,dem.MortalityInfant,eco.Inflation.var,eco.GDP,sci.PrimaryDuration.var,sci.Internet.var,eco.GDP.var,hs.BasicSanitation,eco.Exports,eco.MerchTrade,sci.WomenBusinessLaw,dem.FertilityRate.var,dem.LifeExpectancy,dem.FemalePop.var,dem.Pop15to64.var,dem.MortalityInfant.var,dem.FemalePop,geo.RuralPop.var,eco.Imports,eco.CO2Emissions,sci.WomenBusinessLaw.var,dem.DeathRate,sci.Articles.var,dem.over64.var,geo.ArableLand,dem.MortalityUnder5,hs.GovHealthExpend,eco.Exports.var,hs.OpenDefecation,sci.SecundaryDuration,dem.DeathRate.var,HDI.Delta,HDI.Delta.cat
Algeria - 2016,36.881842293333335,70.84266666666667,4.4671956,-0.08622724025320744,92.80666666666667,3.0389999999999997,5.8682459399735265,0.6216666666666697,-0.19618766102647,-0.11499999999999844,0.12452165817823868,-0.29333333333332234,2.043444759447523,-0.0101465751535601,29.15733333333333,-1.7358270518751169,1.3344744206458685,0.02736900354864913,0.0,-0.2970000000000006,0.21066666666666833,-44.82824707031301,10.665,4105.04,65.42966992742673,-0.33333333333333215,25.423000000000002,93.41924024604056,0.43780231678433523,-6123000000.0,5.0,0.15196690096856003,-3.5851116108670027,0.0,5.866666666666674,28.702084132599733,52.843663855165666,2.93358458828172,148.37666666666667,21.599999999999998,-1.4347932894233368,179940690373.043,0.0,7.381842293333335,-33868118373.653015,87.45725577180774,41585000000.0,51.90418309848089,55.833333333333336,0.016999999999999904,76.08866666666667,-0.006499372179703755,-0.5729281817145591,-0.3000000000000007,49.497440233954194,-0.6216666666666697,52457000000.0,3.7631717809165797,0.8333333333333357,4.713666666666666,474.6700000000001,0.135125864930286,3.1259639584662904,25.166666666666668,212.890167236328,-18476000000.0,0.8898391305129999,7.0,0.004666666666666153,0.0040000000000000036,1
Angola - 2004,0.3686244763333333,53.64433333333333,2.764999999999997,0.8632527329217864,39.223333333333336,6.533,2.56765547354536,1.183333333333323,-1.4703293044424015,-0.13233333333332808,1.4338379669109678,0.7333333333333343,3.3870272044364,0.10694901205850016,46.35566666666667,108.11704611178226,-0.3648951315471578,0.018728587852359424,-0.07500000000000284,-2.320600000000013,0.7663333333333355,4.210413932800266,190.51139999999998,10.083333333333334,50.3885798302918,-8.0,47.77866666666667,44.36400249524636,-0.08334575505826791,1264000000.0,4.0,0.9872026360774626,2.652025005063493,0.0,6.186666666666667,47.04376469616284,98.45814000989144,5.620327272487793,87.00666666666666,109.86666666666667,-88.86705913512776,18883450843.430603,0.0,0.09824773033333328,3597856015.012602,31.856306696071666,10437000000.0,81.73301685188899,62.5,-0.03399999999999981,48.468333333333334,0.025940632222201998,0.09259680756910171,-4.333333333333329,50.340140567402706,-1.183333333333323,5024000000.0,0.7416874625683384,0.0,16.505,-5.046666666666667,-0.009251052510840019,2.59351354241865,182.9,15.593523025512667,2109000000.0,38.4840595878849,7.0,-0.5850000000000009,0.026000000000000023,3
Angola - 2008,1.7,57.52333333333333,2.79750000000004,1.89501666561995,41.96,6.370333333333334,2.468763280834427,0.7593333333333376,-1.2898076935870009,-0.3156666666666652,1.268083214829467,0.5700000000000003,3.670247083700456,0.05347450602925363,42.476666666666674,13.598811245238139,0.018441748711367723,0.0593654796669667,0.2575000000000398,-2.468999999999994,1.0446666666666644,21.957214355468743,181.0806,11.136666666666668,50.54474775417,-9.400000000000006,46.89933333333334,47.9607000034349,0.03965781183006101,5695666666.666666,5.333333333333333,0.8104708001671952,9.889639645032744,-0.666666666666667,11.840000000000018,46.986488964995566,97.84449455664758,5.00163327911319,116.66000000000001,90.46666666666665,-3.5192863650361623,68728690059.52242,1.333333333333333,0.19999999999999996,16347683167.48442,37.25936502813847,46724000000.0,87.47501345001274,63.333333333333336,-0.04866666666666575,52.187666666666665,0.03658321095203121,-0.004711521088999859,-5.13333333333334,50.46969939685963,-0.7593333333333305,14473666666.666666,1.1643845068075966,0.8333333333333357,13.813,-1.2633333333333319,-0.03494629074113309,2.7004625544771534,146.79999999999998,59.28964614868164,14862000000.0,32.956917965661,6.333333333333333,-0.7260000000000009,0.016000000000000014,3
Angola - 2012,4.133333333333334,60.52633333333333,3.57,1.7652562041052835,44.75333333333333,6.1176666666666675,2.3480629157882267,0.7433333333333323,-1.3038522241796677,-0.57233333333334,1.2655173119120704,0.6533333333333289,3.6344651115280633,0.32084703617550003,39.47366666666667,23.572149981697148,0.2861059516987865,0.0452741994744168,0.0,-2.765800000000013,0.9553333333333285,12.928677876790395,170.1658,18.28,50.52454772772031,-7.7666666666666515,45.083666666666666,51.17340631759553,0.08577573416540218,3537000000.0,6.0,0.7965649789838238,-2.7283618968375407,0.0,0.01666666666665151,47.1273893564915,97.923820273098,4.87260168787385,168.66666666666666,71.53333333333335,-8.117046900766155,107880678906.24913,0.0,1.333333333333334,24081182295.048737,42.32631037321057,62999333333.333336,77.53703672729927,65.83333333333333,-0.07633333333333248,56.30533333333333,0.005125745517666758,-0.07308255927019047,-4.36666666666666,50.55678329563687,-0.7433333333333323,20204000000.0,1.2893657371299068,0.8333333333333286,11.056666666666667,3.6000000000000014,-0.01269317489518329,3.60952915697441,112.53333333333335,72.9601491292318,12404333333.333336,27.76688618494133,6.0,-0.6233333333333331,0.020000000000000018,3
Angola - 2016,15.6,63.44200000000001,3.57,1.4994703478889366,47.35999999999999,5.774666666666666,2.27997475147169,0.7110000000000056,-1.3084390646795008,-0.6539999999999964,1.2561207217344474,0.6899999999999906,3.4382054029046265,0.0,36.558,7.272244015711482,-0.34019479974213596,-0.29545847695818694,0.0,-3.3747999999999934,0.5903333333333265,-16.396745045979834,157.2756,35.01333333333333,50.6068642842528,-4.533333333333346,42.528,54.31423735459566,-0.06399834654796877,-7809000000.0,6.0,0.7727284771401628,-11.299911340622735,0.0,6.78333333333336,47.11316096427553,97.60201077442427,4.572933781182421,183.56333333333336,57.96666666666667,3.7114212246528817,121009900175.70367,0.0,-5.799999999999999,-24702300136.80133,47.37315169975684,39980000000.0,48.92153875882327,68.33333333333333,-0.08933333333333415,59.36633333333333,-0.005288599926061011,0.08706750320129686,-2.5333333333333314,50.54181162246834,-0.7109999999999985,20771000000.0,1.3692822589820832,0.8333333333333286,9.074,1.5333333333333314,-0.023069156653309886,3.93037619314992,88.46666666666665,54.95120112101237,-19190000000.0,22.534651370546896,6.0,-0.3800000000000008,0.0040000000000000036,1
Argentina - 2008,24.995486173333333,90.36533333333334,3.9299999999999997,-0.7094132898745507,97.06666666666668,2.381,9.997070781928286,0.16533333333333644,0.07458046534260632,-0.12266666666666737,0.5641110842070702,0.22666666666667368,1.0022979012918969,0.2418980593344635,9.634666666666668,17.284047497270365,-0.5337482269768259,0.0673662678335969,0.24999999999999956,-0.10740000000000549,0.166333333333327,80.1397806803383,63.05459999999999,5847.526666666668,63.20528874231297,-0.40000000000000036,18.473333333333333,97.84091446637234,-0.2680607717737331,11288000000.0,6.0,0.21618943499304066,0.2685233541762386,0.0,7.423333333333332,26.79764047575877,58.21583772582707,1.1865388308725766,110.81333333333333,14.033333333333331,3.542995011355167,293881935452.76495,0.0,4.068284073333331,61324674635.45694,90.93031840959367,57447666666.666664,34.96879446865014,70.0,-0.016000000000000014,74.78633333333333,-0.013654846406993215,0.2129984633764721,-0.3666666666666689,51.38355495898921,-0.1653333333333329,45440000000.0,4.532552288518107,0.0,7.748666666666666,259.90666666666766,0.055062308397266335,12.977721261816265,15.700000000000001,318.2696787516273,10901666666.666664,1.6362372671762166,6.0,-0.01333333333333453,0.007999999999999896,2
Argentina - 2012,50.6,90.98666666666668,4.866960300243647,-0.5623687270054111,97.79666666666667,2.338,10.297682239436634,0.13766666666668925,0.07755298321442972,-0.10133333333333283,0.5602297625322734,0.1666666666666714,1.0140593420408177,0.31339562269263155,9.013333333333335,22.311159043103732,-0.23700073792323195,0.018585932278176287,0.346960300243647,0.12580000000000524,0.16033333333332678,139.4006958007816,63.4412,7604.373333333333,63.865622804261164,-0.5333333333333332,18.052666666666667,98.66512257141285,-0.19926349727996495,9569000000.0,6.0,0.19706837446584302,-0.6779021543097699,0.0,0.06333333333331836,25.836694956302235,56.57896841594777,1.171732019995761,112.72333333333331,12.4,1.3960347710567333,499924359789.4253,0.0,5.600000000000001,76296937696.9353,93.18200890052138,77406666666.66667,28.82443727939983,73.1,-0.008000000000000007,75.43833333333333,-0.014275184144331377,0.09660591468296786,-0.5,51.328466999511875,-0.13766666666666438,66362000000.0,4.625390068733167,0.0,7.694,367.7533333333331,0.10265758259693492,14.191840020852434,13.866666666666667,715.4813232421876,9219666666.666672,1.9397869098027698,6.0,-0.013999999999999346,0.0020000000000000018,1
Argentina - 2016,67.90401497666666,91.50233333333334,5.13928247751495,-0.39364018307863696,98.28333333333335,2.300333333333333,10.735064650349267,0.1253333333333302,0.0,-0.1550000000000047,0.030419865773467336,0.12333333333334906,1.0782146710473066,-1.7763568394002505e-15,8.497666666666666,35.9941144074164,-0.07286862965649732,0.035545675447359315,0.039154987757060056,-0.15699999999999648,0.15433333333334076,18.360148111978106,63.096000000000004,8476.036666666667,64.04535207365863,-0.5999999999999996,17.542999999999996,99.0495862418628,-0.14854620980270639,-5137666666.666664,6.0,0.049335945020388294,-3.6326423385832314,0.0,5.230000000000004,25.219583275992097,56.139371780686794,1.2160128869953801,126.45,10.233333333333333,-4.288857224134205,559533445120.9391,0.0,3.204014976666656,33213771389.301147,94.23146816277897,61033000000.0,21.853769569400267,73.1,-0.011666666666666714,76.06733333333334,-0.012904640572294568,0.029882221302528933,-0.5666666666666682,51.27368087000681,-0.12533333333333374,60597333333.333336,4.6237752773878595,0.0,7.638333333333333,11.296666666667079,0.11866398850016857,14.323872999864799,11.5,853.1145426432281,-7372000000.0,2.1657250681099702,6.0,-0.012666666666667048,0.0020000000000000018,1
Armenia - 2004,3.811543614,64.137,2.4840866857142934,-0.22727979959730904,86.98666666666668,1.6463333333333334,11.353152694303766,-0.09900000000000375,-0.0019074625924288616,0.3306666666666658,0.4080630797919298,1.5066666666666748,-0.5504850428064456,-1.7763568394002505e-15,35.863,4.411502951194417,-0.9481753098844692,0.11481641882624327,0.052879257142853575,-0.921599999999998,0.21233333333333348,2.763180414835615,31.471400000000003,325.44,65.61405365146453,-1.3666666666666636,13.538666666666666,96.03189606711571,-0.8443076299569015,219000000.0,3.0,0.3102908468337091,0.8179778176738637,0.0,5.859999999999985,23.0327936542317,52.410525913455736,-0.7306236090796494,71.64999999999999,23.46666666666667,2.0541039339497473,2920003765.8355865,0.0,1.851138568,543668717.4358263,88.08819756328133,638000000.0,63.60373696408407,60.86666666666667,0.011333333333333417,72.32433333333333,-0.03020051368829968,0.4074503076037388,-1.1333333333333329,53.00657367305541,0.09899999999999665,1206000000.0,1.1179911287285533,2.06666666666667,8.835666666666667,9.589999999999975,0.4368573223531662,15.981735159817399,26.433333333333337,11.941707293192545,133000000.0,0.06018262970690374,7.0,0.1386666666666656,0.027000000000000024,3
Armenia - 2008,5.954347058000001,63.73933333333334,2.6956037142857205,-0.5594989525656298,91.71,1.7013333333333334,11.696888687541035,-0.09966666666665702,-0.005475293928544102,0.2636666666666656,0.4108276975311611,0.7999999999999972,-0.8338286505974414,-0.038637019002100814,36.260666666666665,4.961816803002783,-1.542324383836899,0.22455606977947684,0.05287925714286068,-0.8106000000000009,0.10966666666665503,13.954021453857436,27.896,371.8233333333333,67.8753264821611,-1.1000000000000014,14.835666666666667,97.29420011515124,-0.5000634288584678,1103333333.3333335,3.0,0.32008042028114403,-1.4988857439284118,0.0,4.453333333333333,20.427784830297835,47.339866564179495,-0.9895563428833776,116.94333333333333,19.233333333333334,0.34380429530789325,9084264673.471197,0.0,0.3225592810000002,2699813067.329097,89.72640962989458,1064666666.6666666,48.262631704862294,76.9,0.011333333333333417,72.82566666666666,0.05997925684899741,0.7081257825717984,-0.966666666666665,53.0662487338224,0.09966666666666413,3295333333.3333335,1.7045911033307568,0.0,9.489666666666666,22.48333333333335,-0.20806235371326665,15.8693360718474,21.599999999999998,48.18874740600584,79666666.66666663,0.039975795668578396,7.0,0.1436666666666664,0.002000000000000113,1
